CharityIPCName,UEN,CharityStatus,IPCStatus,IPCValidFrom,IPCValidTill,PrimarySector,Classification,Activities,SectorAdmin,CharitySetup,RegistrationDate
Leng Foong Prajna Temple,T00SS0004C,Registered,,,,Religious,Buddhism,,"Ministry of Culture, Community and Youth",Society,23/9/2002
LENG ERN JEE (TEMPLE),S68SS0025H,Registered,,,,Religious,Buddhism,"Financial assistance, bursaries & scholarships|Supports other Charities","Ministry of Culture, Community and Youth",Society,03/11/1989
Lembaga Biasiswa Kenangan Maulud (Prophet Muhammad 's Birthday Memorial Scholarship Fund Board),S66SS0027A,Registered with IPC,Live,01/9/2024,31/8/2026,Others,General Charitable Purposes,"Financial assistance, bursaries & scholarships","Ministry of Culture, Community and Youth",Society,16/10/1985
Lejia Society,T06SS0031E,Registered,,,,Social and Welfare,Support Groups,"Public awareness, promotion & advisory",Ministry of Social and Family Development,Society,06/12/2012
LEI ZANG SI (SINGAPORE),S93SS0079A,Registered,,,,Religious,Buddhism,Direct Services|Supports other Charities|Training & education,"Ministry of Culture, Community and Youth",Society,23/8/1996
"Legion of Mary, The",S61SS0184J,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,13/2/1992
LEE KUAN YEW SCHOLARSHIP FUND,199104843M,Registered with IPC,Live,26/9/2025,25/9/2028,Education,Foundations & Trusts,Training & education,Ministry of Education,Company Limited by Guarantee,19/10/1991
LEE KUAN YEW FUND FOR BILINGUALISM,201204335M,Registered with IPC,Live,04/3/2025,03/3/2029,Arts and Heritage,Historical & Cultural Conservation,Grantmaking,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,04/3/2012
LEE KIM TAH FOUNDATION,197902917W,Registered,,,,Social and Welfare,Community|Disability (Adult)|Disability (Children)|Eldercare|Support Groups,Supports other Charities,Ministry of Social and Family Development,Company Limited by Guarantee,22/12/1986
LEE FOUNDATION,195200045N,Registered,,,,Social and Welfare,Community,"Financial assistance, bursaries & scholarships",Ministry of Social and Family Development,Company Limited by Guarantee,26/6/1984
LEE ENG NANG NANG TEMPLE (BOH KEEP KENG),,Deregistered,,,,Others,,,"Ministry of Culture, Community and Youth",,10/2/1995
LEAP PHILANTHROPY LTD.,201228788H,Registered,,,,Others,General Charitable Purposes,"Grantmaking|Public awareness, promotion & advisory|Research","Ministry of Culture, Community and Youth",Company Limited by Guarantee,25/3/2013
LEAP FOUNDATION LTD.,200906548Z,Registered,,,,Others,General Charitable Purposes,"Financial assistance, bursaries & scholarships|Supports other Charities|Grantmaking","Ministry of Culture, Community and Youth",Company Limited by Guarantee,23/3/2010
Leang San King Temple,S93SS0042C,Registered,,,,Religious,Taoism,,"Ministry of Culture, Community and Youth",Society,01/11/1994
LEADERSHIP TRAINING & DEVELOPMENT (SINGAPORE) LIMITED,201905265W,Deregistered,,,,Social and Welfare,Children/Youth,Training & education,Ministry of Social and Family Development,Company Limited by Guarantee,08/7/2020
Lawn Bowls Association for the Disabled (Singapore),T04SS0110B,Registered with IPC,Live,16/12/2023,15/12/2026,Sports,Disability Sports|Non-NSAs,"Public awareness, promotion & advisory|Training & education",Sport Singapore,Society,11/11/2016
LAUSANNE COMMITTEE FOR WORLD EVANGELIZATION LTD,198704020N,Deregistered,,,,Religious,Environment,,"Ministry of Culture, Community and Youth",,29/3/1988
LASALLE COLLEGE OF THE ARTS LIMITED,199202950W,Registered with IPC,Live,04/2/2026,03/8/2028,Arts and Heritage,Training & Education,,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,28/5/1993
Lam Hai Poh Toh San,S85SS0012F,Registered,,,,Religious,Buddhism,,"Ministry of Culture, Community and Youth",Society,01/4/1989
LAKESIDE FAMILY SERVICES,S97SS0022B,Registered with IPC,Live,01/11/2024,31/10/2027,Social and Welfare,Children/Youth|Community|Family|Support Groups,"Direct Services|Financial assistance, bursaries & scholarships",Ministry of Social and Family Development,Society,09/1/1998
Laguna National Golf and Country Club Community Golf Fund,T08CC3007J,Deregistered,Not Applicable,,30/6/2013,Sports,Non-NSAs,,Sport Singapore,Others,31/12/2010
LA SALLE CENTRE (LIMITED),200708204G,Registered,,,,Education,Local Educational Institutions/Funds,Direct Services|Training & education,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,22/6/2009
KWSH FOUNDATION,202126511D,Registered,,,,Health,Others; Foundation,,Ministry of Health,Company Limited by Guarantee,31/3/2022
KWONG WAI SHIU HOSPITAL,201615448C,Registered with IPC,Live,01/7/2023,30/6/2026,Health,Nursing Home|TCM Clinic,Direct Services|Training & education,Ministry of Health,Company Limited by Guarantee,18/7/2016
KWONG WAI SHIU HOSPITAL,T08CC3024J,De-Exempted,Terminated,,,Health,Nursing Home,,Ministry of Health,Others,
KWAN-IN WELFARE SOCIETY,S75SS0041L,Registered,,,,Religious,Buddhism,"Financial assistance, bursaries & scholarships","Ministry of Culture, Community and Youth",Society,27/9/1984
Kwang Tee Temple,S94SS0023E,Registered,,,,Religious,Taoism,,"Ministry of Culture, Community and Youth",Society,20/1/1997
Kwang Hua Buddhist Monastery,S92SS0035C,Registered,,,,Religious,Buddhism,"Financial assistance, bursaries & scholarships|Supports other Charities","Ministry of Culture, Community and Youth",Society,20/10/1994
KWAN YAM THENG BUDDHIST TEMPLE,S92CC0904D,Registered,,,,Religious,Buddhism,,"Ministry of Culture, Community and Youth",Others,26/9/1992
Kwan Siang Tng,S84SS0002G,Registered,,,,Religious,Buddhism,Supports other Charities,"Ministry of Culture, Community and Youth",Society,28/5/1990
KWAN IM THONG HOOD CHO TEMPLE,S84CC0046E,Registered,,,,Religious,Buddhism,"Financial assistance, bursaries & scholarships|Supports other Charities","Ministry of Culture, Community and Youth",Others,17/4/1984
KUOK SINGAPORE FOUNDATION LIMITED,202443920C,Registered,,,,Others,General Charitable Purposes,Grantmaking|Supports other Charities,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,03/10/2025
KUO PAO KUN FOUNDATION LIMITED,200722797E,Registered,Not Applicable,,16/11/2012,Arts and Heritage,Others; -,Supports other Charities,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,09/9/2011
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,T07GS7028E,Exempt Charity,,,,Education,Government-Aided Schools,,Ministry of Education,Others,
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,T07GS5024F,Exempt Charity,,,,Education,Government-Aided Schools,,Ministry of Education,Others,
KUM YAN METHODIST CHURCH (FORMERLY:CANTONESE METHODIST KUM YAN CHURCH),S87CC0539B,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Others,03/12/1987
"Kuang Chee Tng Buddhist Association, Singapore",S61SS0183B,Registered,,,,Religious,Buddhism,"Direct Services|Financial assistance, bursaries & scholarships|Supports other Charities","Ministry of Culture, Community and Youth",Society,27/2/1991
Kuan Ti Temple,S96SS0016J,Registered,,,,Religious,Taoism,,"Ministry of Culture, Community and Youth",Society,29/2/1996
Kuan Im Tng Temple (Joo Chiat),T03SS0021G,Registered,,,,Religious,Buddhism,"Financial assistance, bursaries & scholarships|Supports other Charities","Ministry of Culture, Community and Youth",Society,03/2/2010
Kuan Hoon Dian Chinese Temple,S94SS0114J,Registered,,,,Religious,Taoism,,"Ministry of Culture, Community and Youth",Society,17/7/1995
Kuah Na Keng Temple Association,S86SS0046K,Registered,,,,Religious,Taoism,"Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Society,27/5/1991
KRSNA’S FREE MEALS,T20SS0040A,Registered,,,,Social and Welfare,Community,Direct Services,Ministry of Social and Family Development,Society,03/2/2021
Krishna Our Guide,S70SS0005E,Registered,,,,Religious,Hinduism,,"Ministry of Culture, Community and Youth",Society,01/10/1987
KRF LTD.,201828873W,Registered,,,,Others,General Charitable Purposes,"Grantmaking|Financial assistance, bursaries & scholarships|Supports other Charities|Training & education","Ministry of Culture, Community and Youth",Company Limited by Guarantee,08/4/2022
KRETA AYER PEOPLE'S THEATRE FOUNDATION,197500851C,Registered with IPC,Live,21/12/2025,20/12/2028,Arts and Heritage,Historical & Cultural Conservation|Music & Orchestras|Theatre & Dramatic Arts|Traditional Ethnic Performing Arts,"Financial assistance, bursaries & scholarships|Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Company Limited by Guarantee,01/3/2011
KRETA AYER- KIM SENG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S89CC0678E,Registered with IPC,Live,01/4/2024,31/3/2027,Community,Central,"Financial assistance, bursaries & scholarships",People's Association,Others,11/8/1989
Korean Church in Singapore,S83SS0003J,Registered,,,,Religious,Christianity,Direct Services|Supports other Charities|Training & education,"Ministry of Culture, Community and Youth",Society,17/8/1987
KOR KEE HENG CHARITABLE TRUST,S86CC0373D,Registered,,,,Others,General Charitable Purposes,,"Ministry of Culture, Community and Youth",Others,13/9/1986
Koon Teck Tng,S90SS0006G,Registered,,,,Religious,Buddhism,,"Ministry of Culture, Community and Youth",Society,15/12/1990
KONG MENG SAN PHOR KARK SEE MONASTERY,199607186C,Registered,,,,Religious,Buddhism,"Direct Services|Financial assistance, bursaries & scholarships|Supports other Charities","Ministry of Culture, Community and Youth",Company Limited by Guarantee,17/12/1996
KONG LIP CHIN HOE SAN TOH TONG,,Deregistered,,,,Others,,,"Ministry of Culture, Community and Youth",,07/10/1989
KONG HWA SCHOOL,T07GS5168A,Exempt Charity,,,,Education,Government-Aided Schools,,Ministry of Education,Others,
Kong Beng Tong Temple Association,S84SS0011E,Registered,,,,Religious,Taoism,"Supports other Charities|Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Society,17/8/1990
KOLAM AYER CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,T07CC2009E,Registered,,,,Community,Central,"Financial assistance, bursaries & scholarships",People's Association,Others,24/4/2007
Koinonia Inclusion Network,T19SS0269K,Registered,,,,Religious,Christianity,"Public awareness, promotion & advisory|Training & education|Research","Ministry of Culture, Community and Youth",Society,06/7/2021
KOH ENG HIOK EDUCATIONAL FUNDS LTD.,201129376H,Deregistered,,,,Education,Foundations & Trusts,,Ministry of Education,Company Limited by Guarantee,12/4/2012
KNIGHTS OF OUR HEARTLANDS LTD.,200513870H,Deregistered,,,,Social and Welfare,,,Ministry of Social and Family Development,Company Limited by Guarantee,18/1/2006
KKH HEALTH ENDOWMENT FUND,T02CC1575F,Deregistered,Terminated,,,Health,,Grantmaking,Ministry of Health,Others,20/6/2002
KINGDOMCITY SINGAPORE LIMITED,201507765H,Registered,,,,Religious,Christianity,Training & education,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,23/9/2016
Kingdom of Jesus Christ Society,T01SS0001J,Registered,,,,Religious,Christianity,Supports other Charities,"Ministry of Culture, Community and Youth",Society,30/1/2003
Kingdom Life Community Church,S95SS0041F,Registered,,,,Religious,Christianity,Direct Services,"Ministry of Culture, Community and Youth",Society,17/7/1995
KINGDOM COMMUNITY CHURCH LIMITED,201135461H,Registered,,,,Religious,Christianity,"Direct Services|Public awareness, promotion & advisory|Supports other Charities|Training & education","Ministry of Culture, Community and Youth",Company Limited by Guarantee,12/12/2018
King of Glory Church,T00SS0052C,Registered,,,,Religious,Christianity,Direct Services,"Ministry of Culture, Community and Youth",Society,17/1/2004
Kind Gift,T08SS0162F,Registered,,,,Social and Welfare,Community,,Ministry of Social and Family Development,Society,09/2/2010
Kim Tian Christian Church Singapore,S66SS0042J,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,30/1/1985
Kim Keat Christian Church,S96SS0046B,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,23/9/1996
Kim Eang Tong,S93SS0093B,Registered,,,,Religious,Taoism,,"Ministry of Culture, Community and Youth",Society,20/1/1994
"Kim Chuan Whuap Tuah Temple, The",S69SS0014A,Registered,,,,Religious,Buddhism,"Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Society,20/12/1984
KIEW LEE TONG TEMPLE,S87SS0067K,Registered,,,,Religious,Taoism,Direct Services,"Ministry of Culture, Community and Youth",Society,21/9/1985
KIDZ MEADOW CHILDCARE & DEVELOPMENT CENTRE LIMITED,202115260W,Registered,,,,Social and Welfare,Children/Youth,"Financial assistance, bursaries & scholarships|Direct Services|Supports other Charities|Training & education",Ministry of Social and Family Development,Company Limited by Guarantee,15/10/2021
KIDSTART SINGAPORE LTD.,202027544G,Registered with IPC,Live,23/5/2024,15/12/2026,Others,Children/Youth,,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,09/3/2022
KIDNEY DIALYSIS FOUNDATION LIMITED,199600830Z,Registered with IPC,Live,30/10/2024,29/10/2027,Health,Renal Dialysis,"Direct Services|Public awareness, promotion & advisory",Ministry of Health,Company Limited by Guarantee,22/2/1996
Kiat Leng San Temple,S94SS0054E,Registered,,,,Religious,Taoism,,"Ministry of Culture, Community and Youth",Society,30/10/1996
Khyenkong Tharjay Buddhist Charitable Society,T05SS0083F,Registered,,,,Religious,Buddhism,Supports other Charities,"Ministry of Culture, Community and Youth",Society,31/7/2006
Khush Khabri Fellowship,S92SS0004C,Registered,,,,Religious,Christianity,"Direct Services|Financial assistance, bursaries & scholarships","Ministry of Culture, Community and Youth",Society,03/9/1993
Khoon Chee Vihara,S99SS0092C,Registered,,,,Religious,Buddhism,,"Ministry of Culture, Community and Youth",Society,06/12/2000
KHOO TECK PUAT HEALTH FUND,201427909W,Registered with IPC,Live,21/6/2024,20/6/2027,Health,Trust/Research Funds,"Research|Financial assistance, bursaries & scholarships|Grantmaking",Ministry of Health,Company Limited by Guarantee,19/11/2014
KHOO TECK PUAT FOUNDATION,198200899N,Registered,,,,Social and Welfare,Community,,Ministry of Social and Family Development,Company Limited by Guarantee,23/5/1984
KHOO CHWEE NEO FOUNDATION LTD.,201501865E,Registered,,,,Social and Welfare,Children/Youth|Disability (Adult)|Disability (Children)|Eldercare,Grantmaking|Supports other Charities,Ministry of Social and Family Development,Company Limited by Guarantee,15/7/2015
KHMER FOUNDATION INTERNATIONAL (SINGAPORE) LIMITED,199204494M,Deregistered,,,,Education,,,Ministry of Education,,09/10/1992
KHETAN FOUNDATION LIMITED,201612198M,Registered,,,,Social and Welfare,Community,"Grantmaking|Financial assistance, bursaries & scholarships|Supports other Charities",Ministry of Social and Family Development,Company Limited by Guarantee,07/11/2016
Kheng Chiu Loke Tin Kee Home,S92SS0060E,Registered,Not Applicable,01/8/2020,31/7/2021,Social and Welfare,Eldercare,Direct Services,Ministry of Social and Family Development,Society,11/9/1992
KHENG CHENG SCHOOL,T07GS5608C,Exempt Charity,,,,Education,Government-Aided Schools,,Ministry of Education,Others,
KHANG LING HOME FOR THE AGED,,Deregistered,,,,Social and Welfare,,,Ministry of Social and Family Development,,27/9/1984
Khalsa Jiwan Sudhar Sabha,S31SS0001C,Registered,,,,Religious,Others; -,,"Ministry of Culture, Community and Youth",Society,19/6/1991
Khalsa Dharmak Sabha,S24SS0001D,Registered,,,,Religious,Others; -,Supports other Charities,"Ministry of Culture, Community and Youth",Society,14/8/1985
KEWAL RAMANI FOUNDATION,201005158K,Deregistered,,,,Others,General Charitable Purposes,,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,18/8/2010
Kew Thian Neo Neo Temple,,Deregistered,,,,Others,,,"Ministry of Culture, Community and Youth",Society,27/6/1985
Kew Ong Yah Temple (Upper Serangoon),S21CC0001E,Registered,,,,Religious,Taoism,"Public awareness, promotion & advisory|Supports other Charities","Ministry of Culture, Community and Youth",Others,23/12/2014
Kew Ong Yah Temple,S94SS0022J,Registered,,,,Religious,Taoism,,"Ministry of Culture, Community and Youth",Society,15/8/1996
KEPPEL CARE FOUNDATION LIMITED,201120171W,Registered,,,,Social and Welfare,Community,,Ministry of Social and Family Development,Company Limited by Guarantee,14/9/2011
KENNETH COPELAND MINISTRIES SINGAPORE LTD.,200404121H,Deregistered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,18/8/2006
Kembangan CCC Community Development And Welfare Fund,S98CC1346C,Registered with IPC,Live,01/7/2024,30/6/2027,Community,South East,"Financial assistance, bursaries & scholarships",People's Association,Others,30/12/1998
KEBUN BARU CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S86CC0397J,Registered with IPC,Live,01/1/2025,31/12/2027,Community,North West,"Financial assistance, bursaries & scholarships",People's Association,Others,28/11/1986
Keat Sun Beo,S94SS0028G,Registered,,,,Religious,Taoism,"Financial assistance, bursaries & scholarships|Supports other Charities","Ministry of Culture, Community and Youth",Society,31/3/1999
KEAT HONG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,T03CC1651H,Registered with IPC,Live,01/4/2024,31/3/2027,Community,South West,"Financial assistance, bursaries & scholarships",People's Association,Others,24/1/2003
Kay Poh Road Baptist Church,S64SS0019L,Registered,,,,Religious,Christianity,Training & education,"Ministry of Culture, Community and Youth",Society,15/4/1989
KATONG PRESBYTERIAN CHURCH,T12SS0172F,Registered,,,,Religious,Christianity,"Financial assistance, bursaries & scholarships|Training & education","Ministry of Culture, Community and Youth",Society,14/4/1989
KATHRYN AGUIRRE WORTH MEMORIAL FOUNDATION LTD,199800111K,Deregistered,,,,Others,General Charitable Purposes,,"Ministry of Culture, Community and Youth",,09/1/1998
KATHO TEMPLE,S85CC0269A,Registered,,,,Religious,Buddhism,,"Ministry of Culture, Community and Youth",Others,13/12/1985
Karma Kagyud Buddhist Centre,S81SS0029G,Registered,,,,Religious,Buddhism,"Direct Services|Public awareness, promotion & advisory|Supports other Charities|Training & education","Ministry of Culture, Community and Youth",Society,02/5/1989
KARIM FAMILY FOUNDATION,202236128R,Registered,,,,Others,General Charitable Purposes,"Financial assistance, bursaries & scholarships|Grantmaking|Supports other Charities","Ministry of Culture, Community and Youth",Company Limited by Guarantee,29/5/2023
Karen Baptist Church (Singapore),T06SS0004L,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,08/1/2025
Kang Ming Free Clinic,T01SS0013F,Registered,Not Applicable,,09/7/2009,Health,TCM Clinic,Direct Services|Supports other Charities|Training & education,Ministry of Health,Society,14/6/2001
KAMPUNGKAKIS LIMITED,202220990W,Registered,,,,Health,Other Community-based Services,"Financial assistance, bursaries & scholarships|Public awareness, promotion & advisory|Direct Services|Supports other Charities|Training & education",Ministry of Health,Company Limited by Guarantee,29/5/2023
KAMPUNG SENANG CHARITY AND EDUCATION FOUNDATION LIMITED,202336078H,Registered with IPC,Live,10/10/2025,09/7/2026,Social and Welfare,Children/Youth|Community|Eldercare,"Direct Services|Training & education|Public awareness, promotion & advisory",Ministry of Social and Family Development,Company Limited by Guarantee,04/1/2024
KAMPUNG SENANG CHARITY AND EDUCATION FOUNDATION,S99SS0044C,Registered with IPC,Live,01/7/2023,30/6/2026,Social and Welfare,Community,"Direct Services|Public awareness, promotion & advisory|Training & education",Ministry of Social and Family Development,Society,16/6/1999
KAMPONG UBI CCC WELFARE FUND,,Deregistered,,,,Community,,,People's Association,Others,08/7/1994
Kampong Tengah Thian Hou Keng,S99SS0150D,Registered,,,,Religious,Taoism,,"Ministry of Culture, Community and Youth",Society,15/11/2001
KAMPONG KAPOR METHODIST CHURCH,S87CC0537K,Registered,,,,Religious,Christianity,"Financial assistance, bursaries & scholarships|Supports other Charities|Training & education","Ministry of Culture, Community and Youth",Others,03/12/1987
Kampong Kapor Community Services,T10SS0030D,Registered with IPC,Live,01/4/2024,28/2/2027,Social and Welfare,Community|Eldercare|Family,"Direct Services|Public awareness, promotion & advisory|Financial assistance, bursaries & scholarships",Ministry of Social and Family Development,Society,01/4/2010
KAMPONG GLAM CITIZENS' CONSULTATIVE COMMITTEE SCHOLARSHIP FUND,,Deregistered,,,,Community,,,People's Association,Others,17/12/1985
Kampong Glam CCC Community Development and Welfare Fund,S89CC0692F,Registered with IPC,Live,01/4/2025,31/3/2027,Community,Central,"Financial assistance, bursaries & scholarships",People's Association,Others,18/10/1989
KAMPONG CHAI CHEE CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S92CC0881K,Registered with IPC,Live,01/4/2023,31/3/2026,Community,South East,Direct Services,People's Association,Others,07/7/1992
KAM KWONG CHRISTIAN CHURCH,S98SS0044J,Registered,,,,Religious,Christianity,Direct Services,"Ministry of Culture, Community and Youth",Society,19/11/1999
KAKI BUKIT CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S92CC0869A,Registered with IPC,Live,01/7/2024,30/6/2027,Community,North East,"Financial assistance, bursaries & scholarships",People's Association,Others,19/3/1992
KAI SAN TEMPLE ASSOCIATION,S77SS0026B,Registered,,,,Religious,Taoism,,"Ministry of Culture, Community and Youth",Society,31/3/1986
Kai Hock Tong Temple,S87SS0078L,Registered,,,,Religious,Taoism,,"Ministry of Culture, Community and Youth",Society,05/9/1995
Kadhampa Buddhist Association (Singapore),S95SS0121J,Registered,,,,Religious,Buddhism,Direct Services|Supports other Charities|Training & education,"Ministry of Culture, Community and Youth",Society,01/2/1997
K9ASSISTANCE (LIMITED),202010657N,Registered with IPC,Live,01/3/2026,29/2/2028,Social and Welfare,Disability (Adult),"Direct Services|Public awareness, promotion & advisory|Training & education|Research",Ministry of Social and Family Development,Company Limited by Guarantee,22/12/2020
Just Parenting Association,T04SS0013K,Deregistered,Not Applicable,,30/6/2011,Social and Welfare,Children/Youth|Family|Support Groups,Direct Services,Ministry of Social and Family Development,Society,04/10/2005
JURONGHEALTH FUND,201118604G,Registered with IPC,Live,01/9/2024,31/8/2027,Health,Cluster/Hospital Funds,Grantmaking,Ministry of Health,Company Limited by Guarantee,26/8/2011
Jurong Temple,S82SS0049L,Registered,,,,Religious,Taoism,,"Ministry of Culture, Community and Youth",Society,27/5/1985
JURONG TAMIL METHODIST CHURCH,S88CC0581J,Registered,,,,Religious,Christianity,Supports other Charities,"Ministry of Culture, Community and Youth",Others,21/6/1988
Jurong Spring-Gek Poh CCC Community Development And Welfare Fund,T11CC0005A,Registered with IPC,Live,01/1/2025,31/12/2027,Community,South West,"Financial assistance, bursaries & scholarships",People's Association,Others,13/10/2011
JURONG CHRISTIAN CHURCH,S89CC0669G,Registered,,,,Religious,Christianity,Training & education,"Ministry of Culture, Community and Youth",Others,06/7/1989
JURONG CENTRAL CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,S97CC1260H,Registered with IPC,Live,01/4/2024,31/3/2027,Community,South West,"Financial assistance, bursaries & scholarships|Supports other Charities|Training & education",People's Association,Others,08/5/1997
JUNIOR ACHIEVEMENT (SINGAPORE) LTD.,200922582R,Registered,,,,Education,Others; training and support,Training & education,Ministry of Education,Company Limited by Guarantee,21/12/2010
Jump Rope Federation (Singapore),T13SS0090E,Registered,,,,Sports,Competitive Sports|Non-NSAs,"Public awareness, promotion & advisory|Supports other Charities|Training & education",Sport Singapore,Society,10/4/2017
JUBILEE HOME FOR THE AGED,,Deregistered,,,,Social and Welfare,,,Ministry of Social and Family Development,,22/10/1984
"Jubilee Church, The",S61SS0196F,Registered,,,,Religious,Christianity,Direct Services,"Ministry of Culture, Community and Youth",Society,15/12/1984
Jubilee Assembly of God,T05SS0011A,Registered,,,,Religious,Christianity,Supports other Charities,"Ministry of Culture, Community and Youth",Society,14/3/2006
Ju Eng Home for Senior Citizens,S89SS0113B,Registered with IPC,Live,15/5/2025,14/5/2027,Health,Nursing Home,,Ministry of Health,Society,31/8/1990
JPM (SINGAPORE) LTD.,198105993C,Deregistered,,,,Religious,Environment,,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,01/7/1986
Joyful Charity,T04SS0281B,Registered,,,,Health,Others; -,Supports other Charities,Ministry of Health,Society,28/12/2004
Joo Chiat Gospel Hall,T00SS0215H,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,23/7/2001
JOO CHIAT CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,T07CC2008J,Registered with IPC,Live,01/4/2024,31/3/2027,Community,South East,"Financial assistance, bursaries & scholarships",People's Association,Others,24/4/2007
JOHN MEAD DANCE COMPANY LTD.,200701899H,Deregistered,Not Applicable,,,Arts and Heritage,"Professional, Contemporary & Ethnic Dance","Direct Services|Public awareness, promotion & advisory|Supports other Charities|Training & education|Research","Ministry of Culture, Community and Youth",Company Limited by Guarantee,16/3/2009
JLU GLOBAL LTD.,200817745G,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,07/9/2011
JKTECH FOUNDATION LTD.,202407777E,Registered,,,,Others,General Charitable Purposes,Supports other Charities|Training & education,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,27/8/2024
Jiu Xuan Gong Society,T07SS0053A,Registered,,,,Religious,Taoism,,"Ministry of Culture, Community and Youth",Society,14/8/2008
Jiu Tiao Qiao Xin Ba Na Du Tan,S97SS0144F,Registered,,,,Religious,Taoism,Direct Services,"Ministry of Culture, Community and Youth",Society,29/8/2003
Jireh Bible-Presbyterian Church,S99SS0060G,Registered,,,,Religious,Christianity,Direct Services,"Ministry of Culture, Community and Youth",Society,09/6/2001
Jing Jue Buddhist Society,S96SS0202B,Deregistered,,,,Religious,Buddhism,,"Ministry of Culture, Community and Youth",Society,30/4/1999
Jia Ying Community Services Society,T01SS0100D,Registered with IPC,Live,01/1/2024,31/12/2026,Health,Other Community-based Services|Active Ageing,Direct Services,Ministry of Health,Society,25/7/2003
JIA YING COMMUNITY SERVICES LTD.,202517094W,Registered with IPC,Live,14/10/2025,31/12/2026,Health,Other Community-based Services|Active Ageing|Mental Health,Direct Services,Ministry of Health,Company Limited by Guarantee,14/10/2025
JI ZHENG GONG,T03SS0115K,Registered,,,,Religious,Taoism,"Public awareness, promotion & advisory","Ministry of Culture, Community and Youth",Society,07/10/2004
JI SHAN HEARTS LTD.,202243326M,Registered,,,,Social and Welfare,Children/Youth,"Financial assistance, bursaries & scholarships|Training & education",Ministry of Social and Family Development,Company Limited by Guarantee,29/3/2023
"Jewish Welfare Board, Singapore, The",S62SS0046F,Registered,,,,Religious,Others; Judaism,,"Ministry of Culture, Community and Youth",Society,21/1/1988
JEWELLERY INDUSTRY TRAINING CENTRE OF SINGAPORE,,Deregistered,,,,Education,,,Ministry of Education,,17/10/1992
JET LI ONE FOUNDATION SINGAPORE LIMITED,200812121H,Registered,,,,Others,General Charitable Purposes,,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,15/12/2008
Jesus The King Church,S92SS0005K,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,08/3/1995
JESUS SAVES MISSION LIMITED,197100576D,Registered,,,,Religious,Christianity,"Direct Services|Financial assistance, bursaries & scholarships","Ministry of Culture, Community and Youth",Company Limited by Guarantee,20/7/1989
Jesus Reigns Church,S97SS0141G,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,28/12/1998
Jesus Prayer Fellowship,S99SS0026G,Deregistered,,,,Religious,Environment,,"Ministry of Culture, Community and Youth",Society,28/5/2003
JESUS MISSIONARY SERVICES LIMITED,198305639N,Deregistered,,,,Religious,Environment,,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,13/1/1988
Jesus Lives,S86SS0008D,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,18/2/1992
Jesus' Disciples Baptist Community Church,S87SS0079G,Registered,,,,Religious,Christianity,,"Ministry of Culture, Community and Youth",Society,21/12/1988
JESUIT REFUGEE SERVICE (SINGAPORE) LTD.,201713923E,Registered,,,,Social and Welfare,Community,"Direct Services|Public awareness, promotion & advisory|Training & education",Ministry of Social and Family Development,Company Limited by Guarantee,07/8/2020
JERRY SAVELLE MINISTRIES INTERNATIONAL - ASIA LIMITED,200004640C,Deregistered,,,,Religious,Environment,,"Ministry of Culture, Community and Youth",Company Limited by Guarantee,21/1/2003
